confidence_threshold,margin_threshold,rows,precision_auto,precision_wilson_lower_95,coverage,correct_auto,wrong_auto,net_cost_seconds,abstentions,correct_refusal_rate_blank,recall_at_3_answerable,recall_at_3_reviewed,cross_tenant_violations,safety_block_auto_violations,p50_latency_ms,p95_latency_ms,max_latency_ms
0.85,0.08,420,0.9444444444444444,0.8489254853651705,0.12857142857142856,51,3,16020,366,0.976,0.9322033898305084,0.9180327868852459,0,0,30.58929997496307,41.89770016819239,49.58069999702275
0.85,0.1,420,0.9444444444444444,0.8489254853651705,0.12857142857142856,51,3,16020,366,0.976,0.9322033898305084,0.9180327868852459,0,0,30.58929997496307,41.89770016819239,49.58069999702275
0.85,0.15,420,0.9444444444444444,0.8489254853651705,0.12857142857142856,51,3,16020,366,0.976,0.9322033898305084,0.9180327868852459,0,0,30.58929997496307,41.89770016819239,49.58069999702275
0.85,0.2,420,0.9433962264150944,0.8462955106387368,0.1261904761904762,50,3,16080,367,0.976,0.9322033898305084,0.9183673469387755,0,0,30.58929997496307,41.89770016819239,49.58069999702275
0.9,0.0,420,0.975609756097561,0.8740465298832191,0.09761904761904762,40,1,15160,379,0.992,0.9322033898305084,0.9215686274509803,0,0,30.58929997496307,41.89770016819239,49.58069999702275
0.9,0.02,420,0.975609756097561,0.8740465298832191,0.09761904761904762,40,1,15160,379,0.992,0.9322033898305084,0.9215686274509803,0,0,30.58929997496307,41.89770016819239,49.58069999702275
0.9,0.05,420,0.975609756097561,0.8740465298832191,0.09761904761904762,40,1,15160,379,0.992,0.9322033898305084,0.9215686274509803,0,0,30.58929997496307,41.89770016819239,49.58069999702275
0.9,0.08,420,0.975609756097561,0.8740465298832191,0.09761904761904762,40,1,15160,379,0.992,0.9322033898305084,0.9215686274509803,0,0,30.58929997496307,41.89770016819239,49.58069999702275
0.9,0.1,420,0.975609756097561,0.8740465298832191,0.09761904761904762,40,1,15160,379,0.992,0.9322033898305084,0.9215686274509803,0,0,30.58929997496307,41.89770016819239,49.58069999702275
0.9,0.15,420,0.975609756097561,0.8740465298832191,0.09761904761904762,40,1,15160,379,0.992,0.9322033898305084,0.9215686274509803,0,0,30.58929997496307,41.89770016819239,49.58069999702275
0.9,0.2,420,0.975,0.8711834051199223,0.09523809523809523,39,1,15220,380,0.992,0.9322033898305084,0.921875,0,0,30.58929997496307,41.89770016819239,49.58069999702275
0.925,0.0,420,0.9736842105263158,0.8650482156319973,0.09047619047619047,37,1,15340,382,0.992,0.9322033898305084,0.9224806201550387,0,0,30.58929997496307,41.89770016819239,49.58069999702275
0.925,0.02,420,0.9736842105263158,0.8650482156319973,0.09047619047619047,37,1,15340,382,0.992,0.9322033898305084,0.9224806201550387,0,0,30.58929997496307,41.89770016819239,49.58069999702275
0.925,0.05,420,0.9736842105263158,0.8650482156319973,0.09047619047619047,37,1,15340,382,0.992,0.9322033898305084,0.9224806201550387,0,0,30.58929997496307,41.89770016819239,49.58069999702275
0.925,0.08,420,0.9736842105263158,0.8650482156319973,0.09047619047619047,37,1,15340,382,0.992,0.9322033898305084,0.9224806201550387,0,0,30.58929997496307,41.89770016819239,49.58069999702275
0.925,0.1,420,0.9736842105263158,0.8650482156319973,0.09047619047619047,37,1,15340,382,0.992,0.9322033898305084,0.9224806201550387,0,0,30.58929997496307,41.89770016819239,49.58069999702275
0.925,0.15,420,0.9736842105263158,0.8650482156319973,0.09047619047619047,37,1,15340,382,0.992,0.9322033898305084,0.9224806201550387,0,0,30.58929997496307,41.89770016819239,49.58069999702275
0.925,0.2,420,0.972972972972973,0.8617562156243666,0.0880952380952381,36,1,15400,383,0.992,0.9322033898305084,0.9227799227799228,0,0,30.58929997496307,41.89770016819239,49.58069999702275
0.95,0.0,420,0.9722222222222222,0.8582996626496918,0.08571428571428572,35,1,15460,384,0.992,0.9322033898305084,0.9230769230769231,0,0,30.58929997496307,41.89770016819239,49.58069999702275
0.95,0.02,420,0.9722222222222222,0.8582996626496918,0.08571428571428572,35,1,15460,384,0.992,0.9322033898305084,0.9230769230769231,0,0,30.58929997496307,41.89770016819239,49.58069999702275
0.95,0.05,420,0.9722222222222222,0.8582996626496918,0.08571428571428572,35,1,15460,384,0.992,0.9322033898305084,0.9230769230769231,0,0,30.58929997496307,41.89770016819239,49.58069999702275
0.95,0.08,420,0.9722222222222222,0.8582996626496918,0.08571428571428572,35,1,15460,384,0.992,0.9322033898305084,0.9230769230769231,0,0,30.58929997496307,41.89770016819239,49.58069999702275
0.95,0.1,420,0.9722222222222222,0.8582996626496918,0.08571428571428572,35,1,15460,384,0.992,0.9322033898305084,0.9230769230769231,0,0,30.58929997496307,41.89770016819239,49.58069999702275
0.95,0.15,420,0.9722222222222222,0.8582996626496918,0.08571428571428572,35,1,15460,384,0.992,0.9322033898305084,0.9230769230769231,0,0,30.58929997496307,41.89770016819239,49.58069999702275
0.95,0.2,420,0.9714285714285714,0.8546659090672867,0.08333333333333333,34,1,15520,385,0.992,0.9322033898305084,0.9233716475095786,0,0,30.58929997496307,41.89770016819239,49.58069999702275
0.96,0.0,420,0.9696969696969697,0.8468093832683193,0.07857142857142857,32,1,15640,387,0.992,0.9322033898305084,0.9239543726235742,0,0,30.58929997496307,41.89770016819239,49.58069999702275
0.96,0.02,420,0.9696969696969697,0.8468093832683193,0.07857142857142857,32,1,15640,387,0.992,0.9322033898305084,0.9239543726235742,0,0,30.58929997496307,41.89770016819239,49.58069999702275
0.96,0.05,420,0.9696969696969697,0.8468093832683193,0.07857142857142857,32,1,15640,387,0.992,0.9322033898305084,0.9239543726235742,0,0,30.58929997496307,41.89770016819239,49.58069999702275
0.96,0.08,420,0.9696969696969697,0.8468093832683193,0.07857142857142857,32,1,15640,387,0.992,0.9322033898305084,0.9239543726235742,0,0,30.58929997496307,41.89770016819239,49.58069999702275
0.96,0.1,420,0.9696969696969697,0.8468093832683193,0.07857142857142857,32,1,15640,387,0.992,0.9322033898305084,0.9239543726235742,0,0,30.58929997496307,41.89770016819239,49.58069999702275
0.96,0.15,420,0.9696969696969697,0.8468093832683193,0.07857142857142857,32,1,15640,387,0.992,0.9322033898305084,0.9239543726235742,0,0,30.58929997496307,41.89770016819239,49.58069999702275
0.96,0.2,420,0.96875,0.8425539219962727,0.0761904761904762,31,1,15700,388,0.992,0.9322033898305084,0.9242424242424242,0,0,30.58929997496307,41.89770016819239,49.58069999702275
0.97,0.0,420,0.9642857142857143,0.8228742388150134,0.06666666666666667,27,1,15940,392,0.992,0.9322033898305084,0.9253731343283582,0,0,30.58929997496307,41.89770016819239,49.58069999702275
0.97,0.02,420,0.9642857142857143,0.8228742388150134,0.06666666666666667,27,1,15940,392,0.992,0.9322033898305084,0.9253731343283582,0,0,30.58929997496307,41.89770016819239,49.58069999702275
0.97,0.05,420,0.9642857142857143,0.8228742388150134,0.06666666666666667,27,1,15940,392,0.992,0.9322033898305084,0.9253731343283582,0,0,30.58929997496307,41.89770016819239,49.58069999702275
0.97,0.08,420,0.9642857142857143,0.8228742388150134,0.06666666666666667,27,1,15940,392,0.992,0.9322033898305084,0.9253731343283582,0,0,30.58929997496307,41.89770016819239,49.58069999702275
0.97,0.1,420,0.9642857142857143,0.8228742388150134,0.06666666666666667,27,1,15940,392,0.992,0.9322033898305084,0.9253731343283582,0,0,30.58929997496307,41.89770016819239,49.58069999702275
0.97,0.15,420,0.9642857142857143,0.8228742388150134,0.06666666666666667,27,1,15940,392,0.992,0.9322033898305084,0.9253731343283582,0,0,30.58929997496307,41.89770016819239,49.58069999702275
0.97,0.2,420,0.9642857142857143,0.8228742388150134,0.06666666666666667,27,1,15940,392,0.992,0.9322033898305084,0.9253731343283582,0,0,30.58929997496307,41.89770016819239,49.58069999702275
0.98,0.0,420,1.0,0.8620194241710247,0.05714285714285714,24,0,15360,396,1.0,0.9322033898305084,0.9261992619926199,0,0,30.58929997496307,41.89770016819239,49.58069999702275
